Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Trump,2019,UniCredit Bank AG,Financial,Germany,Foreign,"$553,380,759","Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. Part 544 (WMDPSR), but also apparent violations of the Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR); the Burmese Sanctions Regulations, 31 C.F.R. Part 537 (BSR)i; the Sudanese Sanctions Regulations, 31 C.F.R. Part 538 (SSR)ii; the Syrian Sanctions Regulations, 31 C.F.R. Part 542 (SySR)iii; the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR)iv; the Libyan Sanctions Regulations, 31 C.F.R. Part 570 (LSR); and the Global Terrorism Sanctions Regulations, 31 C.F.R. Part 594 (GTSR)","WMDPSR, CACR, BSR, SSR, SySR, ITSR, LSR, GTSR",NO,YES,"2,158","January 3, 2007 to December 27, 2011",4/15/2019,"Kazakhstan, Iran",Islamic Republic of Iran Shipping Lines (IRISL),YES,NO,Financial transactions,527467001,-
Trump,2019,UniCredit Bank Austria AG,Financial,Austria,Foreign,"$20,326,340"," Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); the Sudanese Sanctions Regulations, 31 C.F.R. Part 538 (SSR); the Burmese Sanctions Regulations, 31 C.F.R. Part 537 (BSR); the Syrian Sanctions Regulations, 31 C.F.R. Part 542 (SySR); and the Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR)","ITSR, SSR, BSR, SySR, CACR",NO,YES/NO,127,Up to 2012,4/15/2019,,,YES,NO,Financial transactions,,-
Trump,2019,UniCredit S.p.A.,Financial,Italy,Foreign,"$37,316,322","Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); the Burmese Sanctions Regulations, 31 C.F.R. Part 537 (BSR); the Sudanese Sanctions Regulations, 31 C.F.R. Part 538 (SSR); and the Syrian Sanctions Regulations, 31 C.F.R. Part 542 (SySR)","CACR, ITSR, BSR, SSR, SySR",NO,YES,612,Up to 2012,4/15/2019,,,YES,NO,Financial transactions,,-
Trump,2019,"Acteon Group Ltd., and 2H Offshore Engineering Ltd",Petrochemical,United Kingdom,Foreign,"$227,500"," Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,YES,YES,7,,4/11/2019,"UK, Singapore, Cuba, Malaysia, UAE, Iran,  Venezuela",,YES,NO,"Oil exploration reports, oil exploration equipment",,-
Trump,2019,Standard Chartered Bank,Financial,United Kingdom,Foreign,"$639,023,750","Burmese Sanctions Regulations (BSR); the Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); the now-repealed Sudanese Sanctions Regulations; and the Syrian Sanctions Regulations, 31 C.F.R. Part 542 (SySR), or Executive Order 13582 of August 17, 2011, “Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria” (E.O. 13582)","BSR, CACR, ITSR, SSR, SySR, E.O. 13582",NO,YES,"9,335",June 2009 until June 2014,4/9/2019,,,NO,NO,Financial transactions,437553380,-
Trump,2019,Standard Chartered Bank,Financial,United Kingdom,Foreign,"$18,016,283","Zimbabwe Sanctions Regulations, 31 C.F.R Part 541 (ZSR)",ZSR,YES,NO,"1,795",,4/9/2019,Zimbabwe,YES,NO,NO,Financial transactions,76795414,-
Trump,2019,"Stanley Black & Decker, Inc",Industrial,U.S.,U.S.,"$1,869,144","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,YES,YES,23,"June 29, 2013 and on or about December 30, 2014",3/27/2019,"China, Iran, UAE",,YES,NO,Power tools,3201647.73,-
Trump,2019,"ZAG IP, LLC",Raw materials,U.S.,U.S.,"$506,250","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,YES,NO,5,"July 11, 2014 and on or about January 15, 2015",2/21/2019,"UAE, Tanzania",-,NO,NO," 263,563 metric tons of Iranian origin clinker",14495961,-
Trump,2019,AppliChem GmbH,Chemical,Germany,Foreign,"$5,512,564"," Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,YES,YES,304,between May 2012 and February 2016,2/14/2019,"Germany, Cuba",,YES,NO,Chemical Reagents,3433495,-
Trump,2019,Kollmorgen Corporation,Machinery,U.S.,U.S.,"$13,381","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,YES,NO,6, July 2013 to July 2015,2/7/2019,"Turkey, Iran",,YES,NO,Servicing machines and providing spare parts,14867,-
